lyrics,sargam,label
हे शारदे माँ  हे शारदे माँ,gk gk gk m m gk rk rk rk rk gk gk rk s,true
हे शारदे माँ  हे शारदे माँ,g g g mt mt g r r r r g g r rk,true
हे शारदे माँ  हे शारदे माँ,m m m p p m gk gk gk gk m m gk r,true
हे शारदे माँ  हे शारदे माँ,mt mt mt dk dk mt g g g g mt mt g gk,true
हे शारदे माँ  हे शारदे माँ,p p p d d p m m m m p p m g,true
हे शारदे माँ  हे शारदे माँ,dk dk dk nk nk dk mt mt mt mt dk dk mt m,true
हे शारदे माँ  हे शारदे माँ,d d d n n d p p p p d d p mt,true
हे शारदे माँ  हे शारदे माँ,nk nk nk su su nk dk dk dk dk nk nk dk p,true
हे शारदे माँ  हे शारदे माँ,n n n ruk ruk n d d d d n n d dk,true
हे शारदे माँ  हे शारदे माँ,su su su ru ru su nk nk nk nk su su nk d,true
हे शारदे माँ  हे शारदे माँ,ruk ruk ruk guk guk ruk n n n n ruk ruk n nk,true
हे शारदे माँ  हे शारदे माँ,ru ru ru gu gu ru su su su su ru ru su n,true
हे शारदे माँ  हे शारदे माँ,guk guk guk mu mu guk ruk ruk ruk ruk guk guk ruk su,true
हे शारदे माँ  हे शारदे माँ,gu gu gu mut mut gu ru ru ru ru gu gu ru ruk,true
हे शारदे माँ  हे शारदे माँ,mu mu mu pu pu mu guk guk guk guk mu mu guk ru,true
हे शारदे माँ  हे शारदे माँ,mut mut mut duk duk mut gu gu gu gu mut mut gu guk,true
हे शारदे माँ  हे शारदे माँ,pu pu pu du du pu mu mu mu mu pu pu mu gu,true
हे शारदे माँ  हे शारदे माँ,duk duk duk nuk nuk duk mut mut mut mut duk duk mut mu,true
हे शारदे माँ  हे शारदे माँ,du du du nu nu du pu pu pu pu du du pu mut,true
ॐ भू भव सव तत्सत वर्णाय,ra ra sa ra ma ra ra ra ra ma ra sa sa sa,true
ॐ भू भव सव तत्सत वर्णाय,gak gak rak gak mat gak gak gak gak mat gak rak rak rak,true
ॐ भू भव सव तत्सत वर्णाय,Ga  Ga  Re Ga Pa Ga Ga Ga Ga Pa Ga Re Re Re,true
ॐ भू भव सव तत्सत वर्णाय,ma ma gak ma dak ma ma ma ma dak ma gak gak gak,true
ॐ भू भव सव तत्सत वर्णाय,mat mat ga mat da mat mat mat mat da mat ga ga ga,true
ॐ भू भव सव तत्सत वर्णाय,pa pa ma pa nak pa pa pa pa nak pa ma ma ma,true
ॐ भू भव सव तत्सत वर्णाय,dak dak mat dak na dak dak dak dak na dak mat mat mat,true
ॐ भू भव सव तत्सत वर्णाय,da da pa da s da da da da s da pa pa pa,true
ॐ भू भव सव तत्सत वर्णाय,nak nak dak nak rk nak nak nak nak rk nak dak dak dak,true
ॐ भू भव सव तत्सत वर्णाय,na na da na r na na na na r na da da da,true
ॐ भू भव सव तत्सत वर्णाय,s s nak s gk s s s s gk s nak nak nak,true
ॐ भू भव सव तत्सत वर्णाय,rk rk na rk g rk rk rk rk g rk na na na,true
ॐ भू भव सव तत्सत वर्णाय,r r s r m r r r r m r s s s,true
ॐ भू भव सव तत्सत वर्णाय,gk gk rk gk mt gk gk gk gk mt gk rk rk rk,true
ॐ भू भव सव तत्सत वर्णाय,g g r g p g g g g p g r r r,true
ॐ भू भव सव तत्सत वर्णाय,m m gk m dk m m m m dk m gk gk gk,true
ॐ भू भव सव तत्सत वर्णाय,mt mt g mt d mt mt mt mt d mt g g g,true
ॐ भू भव सव तत्सत वर्णाय,p p m p nk p p p p nk p m m m,true
ॐ भू भव सव तत्सत वर्णाय,dk dk mt dk n dk dk dk dk n dk mt mt mt,true
ॐ भू भव सव तत्सत वर्णाय,d d p d su d d d d su d p p p,true
ॐ भू भव सव तत्सत वर्णाय,nk nk dk nk ruk nk nk nk nk ruk nk dk dk dk,true
ॐ भू भव सव तत्सत वर्णाय,n n d n ru n n n n ru n d d d,true
ॐ भू भव सव तत्सत वर्णाय,su su nk su guk su su su su guk su nk nk nk,true
ॐ भू भव सव तत्सत वर्णाय,ruk ruk n ruk gu ruk ruk ruk ruk gu ruk n n n,true
ॐ भू भव सव तत्सत वर्णाय,ru ru su ru mu ru ru ru ru mu ru su su su,true
ॐ भू भव सव तत्सत वर्णाय,guk guk ruk guk mut guk guk guk guk mut guk ruk ruk ruk,true
ॐ भू भव सव तत्सत वर्णाय,gu gu ru gu pu gu gu gu gu pu gu ru ru ru,true
ॐ भू भव सव तत्सत वर्णाय,mu mu guk mu duk mu mu mu mu duk mu guk guk guk,true
ॐ भू भव सव तत्सत वर्णाय,mut mut gu mut du mut mut mut mut du mut gu gu gu,true
ॐ भू भव सव तत्सत वर्णाय,pu pu mu pu nuk pu pu pu pu nuk pu mu mu mu,true
ॐ भू भव सव तत्सत वर्णाय,duk duk mut duk nu duk duk duk duk nu duk mut mut mut,true
मीठे रस से  भर यो री राधा रानी लागे,Sa Sa Sa Re Re Re Ga Ga Ga Re Re Re Sa  Sa Sa Re Sa Re Ga Re,true
मीठे रस से  भर यो री राधा रानी लागे,rak rak rak gak gak gak ma ma ma gak gak gak rak rak rak gak rak gak ma gak,true
मीठे रस से  भर यो री राधा रानी लागे,ra ra ra ga ga ga mat mat mat ga ga ga ra ra ra ga ra ga mat ga,true
मीठे रस से  भर यो री राधा रानी लागे,gak gak gak ma ma ma pa pa pa ma ma ma gak gak gak ma gak ma pa ma,true
मीठे रस से  भर यो री राधा रानी लागे,ga ga ga mat mat mat dak dak dak mat mat mat ga ga ga mat ga mat dak mat,true
मीठे रस से  भर यो री राधा रानी लागे,ma ma ma pa pa pa da da da pa pa pa ma ma ma pa ma pa da pa,true
मीठे रस से  भर यो री राधा रानी लागे,mat mat mat dak dak dak nak nak nak dak dak dak mat mat mat dak mat dak nak dak,true
मीठे रस से  भर यो री राधा रानी लागे,pa pa pa da da da na na na da da da pa pa pa da pa da na da,true
मीठे रस से  भर यो री राधा रानी लागे,dak dak dak nak nak nak s s s nak nak nak dak dak dak nak dak nak s nak,true
मीठे रस से  भर यो री राधा रानी लागे,da da da na na na rk rk rk na na na da da da na da na rk na,true
मीठे रस से  भर यो री राधा रानी लागे,nak nak nak s s s r r r s s s nak nak nak s nak s r s,true
मीठे रस से  भर यो री राधा रानी लागे,na na na rk rk rk gk gk gk rk rk rk na na na rk na rk gk rk,true
मीठे रस से  भर यो री राधा रानी लागे,s s s r r r g g g r r r s s s r s r g r,true
मीठे रस से  भर यो री राधा रानी लागे,rk rk rk gk gk gk m m m gk gk gk rk rk rk gk rk gk m gk,true
मीठे रस से  भर यो री राधा रानी लागे,r r r g g g mt mt mt g g g r r r g r g mt g,true
मीठे रस से  भर यो री राधा रानी लागे,gk gk gk m m m p p p m m m gk gk gk m gk m p m,true
मीठे रस से  भर यो री राधा रानी लागे,g g g mt mt mt dk dk dk mt mt mt g g g mt g mt dk mt,true
मीठे रस से  भर यो री राधा रानी लागे,m m m p p p d d d p p p m m m p m p d p,true
मीठे रस से  भर यो री राधा रानी लागे,mt mt mt dk dk dk nk nk nk dk dk dk mt mt mt dk mt dk nk dk,true
मीठे रस से  भर यो री राधा रानी लागे,p p p d d d n n n d d d p p p d p d n d,true
मीठे रस से  भर यो री राधा रानी लागे,dk dk dk nk nk nk su su su nk nk nk dk dk dk nk dk nk su nk,true
मीठे रस से  भर यो री राधा रानी लागे,d d d n n n ruk ruk ruk n n n d d d n d n ruk n,true
मीठे रस से  भर यो री राधा रानी लागे,nk nk nk su su su ru ru ru su su su nk nk nk su nk su ru su,true
मीठे रस से  भर यो री राधा रानी लागे,n n n ruk ruk ruk guk guk guk ruk ruk ruk n n n ruk n ruk guk ruk,true
मीठे रस से  भर यो री राधा रानी लागे,su su su ru ru ru gu gu gu ru ru ru su su su ru su ru gu ru,true
मीठे रस से  भर यो री राधा रानी लागे,ruk ruk ruk guk guk guk mu mu mu guk guk guk ruk ruk ruk guk ruk guk mu guk,true
मीठे रस से  भर यो री राधा रानी लागे,ru ru ru gu gu gu mut mut mut gu gu gu ru ru ru gu ru gu mut gu,true
मीठे रस से  भर यो री राधा रानी लागे,guk guk guk mu mu mu pu pu pu mu mu mu guk guk guk mu guk mu pu mu,true
मीठे रस से  भर यो री राधा रानी लागे,gu gu gu mut mut mut duk duk duk mut mut mut gu gu gu mut gu mut duk mut,true
मीठे रस से  भर यो री राधा रानी लागे,mu mu mu pu pu pu du du du pu pu pu mu mu mu pu mu pu du pu,true
मीठे रस से  भर यो री राधा रानी लागे,mut mut mut duk duk duk nuk nuk nuk duk duk duk mut mut mut duk mut duk nuk duk,true
मीठे रस से  भर यो री राधा रानी लागे,pu pu pu du du du nu nu nu du du du pu pu pu du pu du nu du,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,Ga Ga Ma Ga Re Sa Ni Sa Dha Ni Sa Ni Pa Ni Sa Re Re Re Ga Re Ga Ma Ga Re Sa Sa,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,ma ma mat ma gak rak s rak nak s rak s dak s rak gak gak gak ma gak ma mat ma gak rak rak,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,mat mat pa mat ga ra rk ra na rk ra rk da rk ra ga ga ga mat ga mat pa mat ga ra ra,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,pa pa dak pa ma gak r gak s r gak r nak r gak ma ma ma pa ma pa dak pa ma gak gak,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,dak dak da dak mat ga gk ga rk gk ga gk na gk ga mat mat mat dak mat dak da dak mat ga ga,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,da da nak da pa ma g ma r g ma g s g ma pa pa pa da pa da nak da pa ma ma,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,nak nak na nak dak mat m mat gk m mat m rk m mat dak dak dak nak dak nak na nak dak mat mat,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,na na s na da pa mt pa g mt pa mt r mt pa da da da na da na s na da pa pa,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,s s rk s nak dak p dak m p dak p gk p dak nak nak nak s nak s rk s nak dak dak,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,rk rk r rk na da dk da mt dk da dk g dk da na na na rk na rk r rk na da da,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,r r gk r s nak d nak p d nak d m d nak s s s r s r gk r s nak nak,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,gk gk g gk rk na nk na dk nk na nk mt nk na rk rk rk gk rk gk g gk rk na na,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,g g m g r s n s d n s n p n s r r r g r g m g r s s,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,m m mt m gk rk su rk nk su rk su dk su rk gk gk gk m gk m mt m gk rk rk,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,mt mt p mt g r ruk r n ruk r ruk d ruk r g g g mt g mt p mt g r r,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,p p dk p m gk ru gk su ru gk ru nk ru gk m m m p m p dk p m gk gk,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,dk dk d dk mt g guk g ruk guk g guk n guk g mt mt mt dk mt dk d dk mt g g,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,d d nk d p m gu m ru gu m gu su gu m p p p d p d nk d p m m,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,nk nk n nk dk mt mu mt guk mu mt mu ruk mu mt dk dk dk nk dk nk n nk dk mt mt,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,n n su n d p mut p gu mut p mut ru mut p d d d n d n su n d p p,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,su su ruk su nk dk pu dk mu pu dk pu guk pu dk nk nk nk su nk su ruk su nk dk dk,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,ruk ruk ru ruk n d duk d mut duk d duk gu duk d n n n ruk n ruk ru ruk n d d,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,ru ru guk ru su nk du nk pu du nk du mu du nk su su su ru su ru guk ru su nk nk,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,guk guk gu guk ruk n nuk n duk nuk n nuk mut nuk n ruk ruk ruk guk ruk guk gu guk ruk n n,true
मेरा जीवन तेरी शरण सारे राग विराग हुए अब,gu gu mu gu ru su nu su du nu su nu pu nu su ru ru ru gu ru gu mu gu ru su su,true
इश्वर सत्य है शिव ही सुन्दर है ,Re Sa Sa  Ni Dha Dha Ni  Sa Re Ma Re Sa Dha Dha,true
इश्वर सत्य है शिव ही सुन्दर है ,gak rak rak s nak nak s rak gak mat gak rak nak nak,true
इश्वर सत्य है शिव ही सुन्दर है ,ga ra ra rk na na rk ra ga pa ga ra na na,true
इश्वर सत्य है शिव ही सुन्दर है ,ma gak gak r s s r gak ma dak ma gak s s,true
इश्वर सत्य है शिव ही सुन्दर है ,mat ga ga gk rk rk gk ga mat da mat ga rk rk,true
इश्वर सत्य है शिव ही सुन्दर है ,pa ma ma g r r g ma pa nak pa ma r r,true
इश्वर सत्य है शिव ही सुन्दर है ,dak mat mat m gk gk m mat dak na dak mat gk gk,true
इश्वर सत्य है शिव ही सुन्दर है ,da pa pa mt g g mt pa da s da pa g g,true
इश्वर सत्य है शिव ही सुन्दर है ,nak dak dak p m m p dak nak rk nak dak m m,true
इश्वर सत्य है शिव ही सुन्दर है ,na da da dk mt mt dk da na r na da mt mt,true
इश्वर सत्य है शिव ही सुन्दर है ,s nak nak d p p d nak s gk s nak p p,true
इश्वर सत्य है शिव ही सुन्दर है ,rk na na nk dk dk nk na rk g rk na dk dk,true
इश्वर सत्य है शिव ही सुन्दर है ,r s s n d d n s r m r s d d,true
इश्वर सत्य है शिव ही सुन्दर है ,gk rk rk su nk nk su rk gk mt gk rk nk nk,true
इश्वर सत्य है शिव ही सुन्दर है ,g r r ruk n n ruk r g p g r n n,true
इश्वर सत्य है शिव ही सुन्दर है ,m gk gk ru su su ru gk m dk m gk su su,true
इश्वर सत्य है शिव ही सुन्दर है ,mt g g guk ruk ruk guk g mt d mt g ruk ruk,true
इश्वर सत्य है शिव ही सुन्दर है ,p m m gu ru ru gu m p nk p m ru ru,true
इश्वर सत्य है शिव ही सुन्दर है ,dk mt mt mu guk guk mu mt dk n dk mt guk guk,true
इश्वर सत्य है शिव ही सुन्दर है ,d p p mut gu gu mut p d su d p gu gu,true
इश्वर सत्य है शिव ही सुन्दर है ,nk dk dk pu mu mu pu dk nk ruk nk dk mu mu,true
इश्वर सत्य है शिव ही सुन्दर है ,n d d duk mut mut duk d n ru n d mut mut,true
इश्वर सत्य है शिव ही सुन्दर है ,su nk nk du pu pu du nk su guk su nk pu pu,true
इश्वर सत्य है शिव ही सुन्दर है ,ruk n n nuk duk duk nuk n ruk gu ruk n duk duk,true
इश्वर सत्य है शिव ही सुन्दर है ,ru su su nu du du nu su ru mu ru su du du,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,Re Ga Re Pa Ma Re Ga Re Ma Ga Sa Sa Re Sa Ni Sa Sa Re Ga Re Sa,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,gak ma gak dak mat gak ma gak mat ma rak rak gak rak s rak rak gak ma gak rak,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,ga mat ga da pa ga mat ga pa mat ra ra ga ra rk ra ra ga mat ga ra,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,ma pa ma nak dak ma pa ma dak pa gak gak ma gak r gak gak ma pa ma gak,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,mat dak mat na da mat dak mat da dak ga ga mat ga gk ga ga mat dak mat ga,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,pa da pa s nak pa da pa nak da ma ma pa ma g ma ma pa da pa ma,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,dak nak dak rk na dak nak dak na nak mat mat dak mat m mat mat dak nak dak mat,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,da na da r s da na da s na pa pa da pa mt pa pa da na da pa,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,nak s nak gk rk nak s nak rk s dak dak nak dak p dak dak nak s nak dak,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,na rk na g r na rk na r rk da da na da dk da da na rk na da,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,s r s m gk s r s gk r nak nak s nak d nak nak s r s nak,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,rk gk rk mt g rk gk rk g gk na na rk na nk na na rk gk rk na,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,r g r p m r g r m g s s r s n s s r g r s,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,gk m gk dk mt gk m gk mt m rk rk gk rk su rk rk gk m gk rk,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,g mt g d p g mt g p mt r r g r ruk r r g mt g r,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,m p m nk dk m p m dk p gk gk m gk ru gk gk m p m gk,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,mt dk mt n d mt dk mt d dk g g mt g guk g g mt dk mt g,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,p d p su nk p d p nk d m m p m gu m m p d p m,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,dk nk dk ruk n dk nk dk n nk mt mt dk mt mu mt mt dk nk dk mt,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,d n d ru su d n d su n p p d p mut p p d n d p,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,nk su nk guk ruk nk su nk ruk su dk dk nk dk pu dk dk nk su nk dk,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,n ruk n gu ru n ruk n ru ruk d d n d duk d d n ruk n d,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,su ru su mu guk su ru su guk ru nk nk su nk du nk nk su ru su nk,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,ruk guk ruk mut gu ruk guk ruk gu guk n n ruk n nuk n n ruk guk ruk n,true
ओ पालनहारे  निर्गुण और न्यारे तुमरे बिन  हमरा कौनो नाहीं,ru gu ru pu mu ru gu ru mu gu su su ru su nu su su ru gu ru su,true
श्री कृष्ण गोविन्द हरे मुरारी,Pa Sa Sa Sa Sa Sa Sa Re Ga Re Sa Ni Ni Dha,true
श्री कृष्ण गोविन्द हरे मुरारी,dak rak rak rak rak rak rak gak ma gak rak s s nak,true
श्री कृष्ण गोविन्द हरे मुरारी,da ra ra ra ra ra ra ga mat ga ra rk rk na,true
श्री कृष्ण गोविन्द हरे मुरारी,nak gak gak gak gak gak gak ma pa ma gak r r s,true
श्री कृष्ण गोविन्द हरे मुरारी,na ga ga ga ga ga ga mat dak mat ga gk gk rk,true
श्री कृष्ण गोविन्द हरे मुरारी,s ma ma ma ma ma ma pa da pa ma g g r,true
श्री कृष्ण गोविन्द हरे मुरारी,rk mat mat mat mat mat mat dak nak dak mat m m gk,true
श्री कृष्ण गोविन्द हरे मुरारी,r pa pa pa pa pa pa da na da pa mt mt g,true
श्री कृष्ण गोविन्द हरे मुरारी,gk dak dak dak dak dak dak nak s nak dak p p m,true
श्री कृष्ण गोविन्द हरे मुरारी,g da da da da da da na rk na da dk dk mt,true
श्री कृष्ण गोविन्द हरे मुरारी,m nak nak nak nak nak nak s r s nak d d p,true
श्री कृष्ण गोविन्द हरे मुरारी,mt na na na na na na rk gk rk na nk nk dk,true
श्री कृष्ण गोविन्द हरे मुरारी,p s s s s s s r g r s n n d,true
श्री कृष्ण गोविन्द हरे मुरारी,dk rk rk rk rk rk rk gk m gk rk su su nk,true
श्री कृष्ण गोविन्द हरे मुरारी,d r r r r r r g mt g r ruk ruk n,true
श्री कृष्ण गोविन्द हरे मुरारी,nk gk gk gk gk gk gk m p m gk ru ru su,true
श्री कृष्ण गोविन्द हरे मुरारी,n g g g g g g mt dk mt g guk guk ruk,true
श्री कृष्ण गोविन्द हरे मुरारी,su m m m m m m p d p m gu gu ru,true
श्री कृष्ण गोविन्द हरे मुरारी,ruk mt mt mt mt mt mt dk nk dk mt mu mu guk,true
श्री कृष्ण गोविन्द हरे मुरारी,ru p p p p p p d n d p mut mut gu,true
श्री कृष्ण गोविन्द हरे मुरारी,guk dk dk dk dk dk dk nk su nk dk pu pu mu,true
श्री कृष्ण गोविन्द हरे मुरारी,gu d d d d d d n ruk n d duk duk mut,true
श्री कृष्ण गोविन्द हरे मुरारी,mu nk nk nk nk nk nk su ru su nk du du pu,true
श्री कृष्ण गोविन्द हरे मुरारी,mut n n n n n n ruk guk ruk n nuk nuk duk,true
श्री कृष्ण गोविन्द हरे मुरारी,pu su su su su su su ru gu ru su nu nu du,true
ॐ जय जगदी श हरे,Sa Sa Sa Sa Sa Sa Ni Sa Re,true
ॐ जय जगदी श हरे,rak rak rak rak rak rak s rak gak,true
ॐ जय जगदी श हरे,ra ra ra ra ra ra rk ra ga,true
ॐ जय जगदी श हरे,gak gak gak gak gak gak r gak ma,true
ॐ जय जगदी श हरे,ga ga ga ga ga ga gk ga mat,true
ॐ जय जगदी श हरे,ma ma ma ma ma ma g ma pa,true
ॐ जय जगदी श हरे,mat mat mat mat mat mat m mat dak,true
ॐ जय जगदी श हरे,pa pa pa pa pa pa mt pa da,true
ॐ जय जगदी श हरे,dak dak dak dak dak dak p dak nak,true
ॐ जय जगदी श हरे,da da da da da da dk da na,true
ॐ जय जगदी श हरे,nak nak nak nak nak nak d nak s,true
